parameters_m,tokens_b,task,task_label,n,base_acc,hq_acc,gap_acc_pp,base_acc_norm,hq_acc_norm,gap_acc_norm_pp
56,12.583,mmlu,MMLU,14042,0.23030907278165502,0.23016664292835778,-0.01424298532972379,0.23030907278165502,0.23016664292835778,-0.01424298532972379
56,12.583,openbookqa,OpenBookQA,500,0.158,0.19,3.2,0.294,0.296,0.20000000000000018
56,12.583,piqa,PIQA,1838,0.6191512513601741,0.6186071817192601,-0.05440696409140244,0.6169749727965179,0.6099020674646355,-0.7072905331882429
56,12.583,sciq,SciQ,1000,0.744,0.754,1.0000000000000009,0.655,0.674,1.9000000000000017
56,12.583,siqa,SIQA,1954,0.3607983623336745,0.3725690890481064,1.1770726714431912,0.4048106448311157,0.40992835209826,0.5117707267144334
56,12.583,winogrande,WinoGrande,1267,0.5138121546961326,0.5019731649565904,-1.1838989739542227,0.4972375690607735,0.5146014206787688,1.7363851617995307
56,13.631,arc_challenge,ARC-C,1172,0.197952,0.215017,1.7065000000000023,0.238908,0.255119,1.6210999999999975
56,13.631,arc_easy,ARC-E,2376,0.49452861952861954,0.5151515151515151,2.0622895622895596,0.44023569023569026,0.47685185185185186,3.66161616161616
56,13.631,csqa,CSQA,1221,0.26126126126126126,0.2571662571662572,-0.40950040950040734,0.28665028665028663,0.28992628992628994,0.3276003276003303
56,13.631,hellaswag,HellaSwag,10042,0.2811192989444334,0.2848038239394543,0.36845249950209213,0.3004381597291376,0.30720971917944634,0.6771559450308717
56,13.631,mmlu,MMLU,14042,0.22973935336846604,0.2304515026349523,0.0712149266486245,0.22973935336846604,0.2304515026349523,0.0712149266486245
56,13.631,openbookqa,OpenBookQA,500,0.164,0.186,2.1999999999999993,0.294,0.302,0.8000000000000007
56,13.631,piqa,PIQA,1838,0.6213275299238302,0.6229597388465724,0.16322089227421843,0.6218715995647442,0.6153427638737758,-0.6528835690968404
56,13.631,sciq,SciQ,1000,0.733,0.759,2.6000000000000023,0.644,0.677,3.300000000000003
56,13.631,siqa,SIQA,1954,0.3541453428863869,0.37871033776867963,2.4564994882292748,0.4078812691914023,0.41453428863868985,0.6653019447287578
56,13.631,winogrande,WinoGrande,1267,0.5138121546961326,0.5114443567482242,-0.23677979479084232,0.5074980268350434,0.5074980268350434,0.0
56,14.68,arc_challenge,ARC-C,1172,0.201365,0.227816,2.6451000000000002,0.245734,0.258532,1.2797999999999976
56,14.68,arc_easy,ARC-E,2376,0.5037878787878788,0.5172558922558923,1.3468013468013518,0.4356060606060606,0.476010101010101,4.040404040404039
56,14.68,csqa,CSQA,1221,0.25634725634725636,0.26453726453726456,0.8190008190008202,0.2833742833742834,0.2841932841932842,0.08190008190008258
56,14.68,hellaswag,HellaSwag,10042,0.28211511651065524,0.28450507866958774,0.23899621589325015,0.3027285401314479,0.30850428201553476,0.577574188408686
56,14.68,mmlu,MMLU,14042,0.2293832787352229,0.2310212220481413,0.16379433129183885,0.2293832787352229,0.2310212220481413,0.16379433129183885
56,14.68,openbookqa,OpenBookQA,500,0.164,0.172,0.7999999999999979,0.308,0.312,0.40000000000000036
56,14.68,piqa,PIQA,1838,0.6218715995647442,0.6131664853101197,-0.8705114254624502,0.6131664853101197,0.6126224156692056,-0.054406964091413546
56,14.68,sciq,SciQ,1000,0.744,0.75,0.6000000000000005,0.634,0.692,5.799999999999994
56,14.68,siqa,SIQA,1954,0.36745138178096215,0.3766632548618219,0.9211873080859745,0.4104401228249744,0.40992835209826,-0.051177072671437784
56,14.68,winogrande,WinoGrande,1267,0.5177584846093133,0.5059194948697711,-1.1838989739542227,0.5011838989739542,0.5067087608524072,0.5524861878453025
56,15.729,arc_challenge,ARC-C,1172,0.19198,0.208191,1.6210999999999975,0.235495,0.240614,0.5118999999999985
56,15.729,arc_easy,ARC-E,2376,0.5050505050505051,0.5218855218855218,1.6835016835016758,0.45075757575757575,0.4802188552188552,2.9461279461279464
56,15.729,csqa,CSQA,1221,0.2571662571662572,0.26453726453726456,0.7371007371007376,0.29074529074529076,0.2972972972972973,0.6552006552006551
56,15.729,hellaswag,HellaSwag,10042,0.2840071698864768,0.28540131447918743,0.13941445927106444,0.3031268671579367,0.3110934076877116,0.7966540529774913
56,15.729,mmlu,MMLU,14042,0.2293832787352229,0.2313060817547358,0.1922803019512892,0.2293832787352229,0.2313060817547358,0.1922803019512892
