parameters_m,tokens_b,base_macro10_acc,hq_macro10_acc,gap_macro10_acc_pp,base_macro10_acc_norm,hq_macro10_acc_norm,gap_macro10_acc_norm_pp,base_original_macro4_acc,hq_original_macro4_acc,gap_original_macro4_acc_pp,hq_task_wins_raw,hq_task_ties_raw
263,19.999,0.439591030875114,0.4481258541031924,0.8534823228078278,0.45071429813048913,0.45974138849308466,0.9027090362595471,0.4769226823445537,0.48717005888777043,1.0247376543216682,6,0
469,1.049,0.37876719629434347,0.3823557592759702,0.3588562981626755,0.38633067096472806,0.3905958747665135,0.4265203801785408,0.3891565460851046,0.4012810010881555,1.2124455003050931,7,1
469,2.097,0.4027527354072914,0.4042531655449763,0.15004301376849488,0.40878621684193855,0.4145534696462886,0.5767252804350085,0.42102383327225235,0.43116354758575115,1.0139714313498795,3,0
469,3.146,0.4082564310948724,0.4270091053686452,1.875267427377286,0.4205135419563053,0.43652328308882427,1.6009741132518915,0.4366452602590374,0.4518798922603118,1.5234632001274437,7,0
469,4.194,0.417147823899242,0.4283566802758411,1.1208856376599143,0.42476892102867525,0.43795632699038556,1.3187405961710317,0.4413186851641563,0.4620156222768376,2.069693711268136,6,0
469,5.243,0.4178131762256134,0.4340223185082966,1.6209142282683142,0.43283148905063956,0.44409669675758456,1.1265207706945044,0.44608102146773404,0.47249988944482035,2.64188679770863,8,0
469,6.291,0.42517091378124594,0.44347388515310565,1.8302971371859762,0.43409291867493244,0.45066933506927426,1.6576416394341904,0.457224601246525,0.47805535693221507,2.083075568569005,7,0
469,7.34,0.42294701462277146,0.43985290449822045,1.6905889875449067,0.4377489803724874,0.4550472120971546,1.7298231724667155,0.4547601948900676,0.4827750358766804,2.801484098661287,6,0
469,8.389,0.4295031338471304,0.4466745437954815,1.7171409948351168,0.4402743773226371,0.45707416545689633,1.6799788134259341,0.46035341600953716,0.4891549486739808,2.8801532664443545,7,0
469,9.437,0.43405880120285706,0.44561898718872994,1.1560185985872962,0.4487397539717439,0.4590108392541474,1.0271085282403463,0.4635685547395518,0.4801949525009016,1.662639776134986,7,0
469,10.486,0.43800492787440143,0.44899341518174085,1.0988487307339434,0.44742661428466424,0.4629733405848495,1.5546726300185347,0.46786962319463304,0.49019847678557793,2.2328853590944915,6,0
469,11.534,0.4345560970158032,0.44695528875967094,1.2399191743867692,0.4462772479102224,0.4595372554363008,1.326000752607841,0.4731775030773438,0.48995123170326094,1.6773728625917177,7,0
469,12.583,0.44065256745076375,0.4561577749894349,1.5505207538671102,0.4513906342954055,0.46846580385122555,1.707516955582007,0.4758940356586969,0.49882726527263477,2.2933229613937813,6,0
469,13.631,0.4477180729623512,0.450479261285256,0.2761188322904731,0.4644552817297763,0.461130982264838,-0.3324299464938255,0.4812976494761674,0.4932685466781055,1.1970897201938087,4,1
469,14.68,0.44738416728460983,0.4550958164394402,0.7711649154830423,0.4546677745887336,0.4680304238409926,1.3362649252258945,0.47851906100512714,0.4968140419137491,1.8294980908621983,4,1
469,15.729,0.44601852355926985,0.4600075140496678,1.3988990490397883,0.4570235816155638,0.4677391310800493,1.0715549464485605,0.4808141172327345,0.5035440958194535,2.272997858671899,7,0
469,16.777,0.44524350191730794,0.4540930599533738,0.8849558036065804,0.4564961064847773,0.46788117394442075,1.13850674596436,0.48523404000319814,0.5001886884541586,1.4954648450960533,5,1
469,17.826,0.4471154854541671,0.45564661287424935,0.8531127420082127,0.4575618056737521,0.46628268610458345,0.8720880430831368,0.4835607878062068,0.5002646562303561,1.6703868424149255,6,0
469,18.874,0.44983618190850666,0.45991083401066957,1.007465210216288,0.4631994238895817,0.4722245873314511,0.9025163441869445,0.48745636887672594,0.5054030381865726,1.7946669309846648,8,0
469,19.923,0.45592618579457583,0.46430985373723316,0.8383667942657365,0.46674697797995346,0.4774444150110216,1.0697437031068113,0.49343641845693514,0.5128126064643566,1.937618800742132,6,0
469,19.999,0.45513816811653596,0.4654211124791292,1.0282944362593358,0.46596862649680243,0.4782659818519718,1.2297355355169333,0.49263855537764134,0.5137859723775754,2.114741699993407,6,0
803,1.049,0.3812833666792443,0.3856379795574272,0.4354612878182909,0.3868452648019675,0.3970111012646476,1.0165836462680056,0.3954378739934375,0.40366865290202913,0.8230778908591626,5,1
803,2.097,0.40578384213726393,0.4121801120543956,0.6396269917131685,0.41556041511027286,0.42172621966540624,0.6165804555133445,0.42546184582066005,0.44024644916965044,1.4784603348990388,5,0
803,3.146,0.41955721333888657,0.4289043576725513,0.9347144333664789,0.4315934576559958,0.44130721180634314,0.9713754150347385,0.44785324490007183,0.46242369308134174,1.4570448181269886,7,0
803,4.194,0.42724565726135627,0.4327201145310865,0.5474457269730258,0.4325424993971181,0.44293655617929967,1.0394056782181609,0.45360616227125433,0.47174846475678,1.8142302485525619,5,0
803,5.243,0.43711052737500455,0.44521998766777016,0.8109460292765425,0.44574213239960114,0.4552414322185216,0.9499299818920447,0.46537528564494723,0.48749293526067405,2.2117649615726807,5,0
803,6.291,0.4370124188118026,0.4472638113131241,1.0251392501321501,0.44676023372327006,0.45828672256295916,1.1526488839689084,0.4733887256255061,0.4902518884151873,1.6863162789681252,5,0
803,7.34,0.4427877190750281,0.4507908001426248,0.8003081067596607,0.45055849779201046,0.46898197491435534,1.8423477122344896,0.4761343731861502,0.4946957086509225,1.8561335464772317,5,0
803,8.389,0.44746189238931383,0.4564457827736336,0.8983890384319769,0.4558912349526941,0.4723703380371167,1.6479103084422593,0.4854716920716099,0.5025307096448135,1.7059017573203663,6,0
803,9.437,0.4490426348796265,0.4519912220156733,0.29485871360467647,0.46314672628182796,0.4704714222779744,0.7324695996146355,0.48890108524063414,0.4987238517476811,0.9822766507046955,5,0
803,10.486,0.45211588967671856,0.45787883907995297,0.5762949403234482,0.4641047871514335,0.47353081677903514,0.9426029627601631,0.49072158629099083,0.5065703476454053,1.5848761354414487,4,0
803,11.534,0.45096065730306256,0.4533367004821799,0.23760431791174158,0.45892304263507333,0.471236157723535,1.2313115088461637,0.48960032673125053,0.5058858578438488,1.6285531112598228,4,0
803,12.583,0.4565225629898901,0.4590519122083575,0.25293492184673294,0.4650472079796213,0.47917550912521756,1.412830114559627,0.49330354655402703,0.5122146371570787,1.8911090603051681,3,0
803,13.631,0.458555639174078,0.4575101228577278,-0.10455163163501424,0.47118342355862397,0.4760155097798817,0.4832086221257736,0.5018684222271093,0.5086398134972812,0.677139127017194,3,0
803,14.68,0.4544591791132467,0.4603664347717339,0.5907255658487163,0.46940452754380235,0.4756627735131399,0.6258245969337548,0.49530950776326266,0.5100093324754569,1.4699824712194276,5,0
803,15.729,0.46067879716450266,0.46325332309788936,0.25745259333866366,0.47338199724600416,0.47722606215547314,0.3844064909469017,0.5022678451096197,0.5139764037477889,1.170855863816919,5,0
803,16.777,0.4527345442895882,0.46431554821143406,1.1581003921845852,0.4713623302373876,0.4788073946087018,0.7445064371314316,0.497781289347207,0.5175316035043023,1.9750314157095399,6,0
803,17.826,0.45741400552580613,0.4678201069422655,1.0406101416459335,0.46855837435145364,0.47928169645800595,1.0723322106552298,0.5020893854404993,0.5177346236969653,1.5645238256466103,6,0
803,18.35,0.4595367728973231,0.47073549600853515,1.119872311121202,0.47082939028181503,0.4881089983259804,1.7279608044165395,0.5019405230513991,0.5255032656982987,2.3562742646899597,5,0
803,18.874,0.4630500721267226,0.4689037768603928,0.5853704733670229,0.47438589943881837,0.4843166201102598,0.9930720671441373,0.5074228499640613,0.5229193361985123,1.5496486234450937,6,0
803,19.923,0.46678470315019915,0.47533412605175995,0.8549422901560704,0.4788708967202833,0.4895264845937713,1.0655587873487995,0.5137453825682402,0.5299934703379601,1.6248087769719852,5,0
803,19.999,0.46599533836643675,0.47442177226706306,0.842643390062619,0.47913296194447375,0.48923267325766595,1.0099711313192157,0.5126746866167171,0.529388743792876,1.6714057176158952,5,0
